index,name,artist,uri,mood(s)
209,You Know Me,"Air Traffic Controller, ",spotify:track:099TPpEaCSjEwysWZeTZv1,dinner
210,Carousel,"Miner, ",spotify:track:4zuZZ7RAbJ8fkuUxrISlj6,dinner
211,Back To You,"Twin Forks, ",spotify:track:4l94386YhnCzduk44xzFRx,dinner
212,Volunteers,"Megafaun, ",spotify:track:1Dq7TUIkdtsqJ65fxiIn6i,dinner
213,Pulaski at Night,"Andrew Bird, ",spotify:track:1AJ6dy0kvwMqGNPAT8XlJp,dinner
214,A Seat at the Table,"J. Tillman, ",spotify:track:4Ak6JZSh4CaPMRoXcmdE2X,dinner
215,Home,"Islandis, ",spotify:track:2JGSYOFs3qNgd4hhvhrkf8,dinner
216,Harvest Moon,"Poolside, ",spotify:track:4r608qFvEK55vdNyOPtnwf,dinner
217,Tell Me,"Sharon Jones & The Dap-Kings, ",spotify:track:01Vfx2Jna7YYXb645Auid1,dinner
218,Better Man,"Leon Bridges, ",spotify:track:3kguMbJma0qhOLniGsFlKq,dinner
219,The Best Crew,"Tep No, ",spotify:track:1VCEWYRGhRp6yaCFt7GzA9,dinner
220,Turning Heads,"Boyakaza, ",spotify:track:3i0nDmjTjXDsoMIKUFlhDR,dinner
221,Windy,"Scarlet Pleasure, ",spotify:track:5Opx1U7Rohfc06VDphr5qt,dinner
222,Broken Roots,"Michl, ",spotify:track:6UKQqrX26fiwC6ab7Subn2,dinner
223,Boyce And Hart,"The Minus 5, ",spotify:track:4bCCfBzdKxiA7tGWL0CZFm,dinner
224,Town & Country,"Bibio, ",spotify:track:5NHUINKcKplm3RaM0doXKI,dinner
225,Confused Lover,"biLLLy, ",spotify:track:18erGN4kzZeFOSPzlkbc2d,dinner
226,Say a Little Prayer - Live,"Lianne La Havas, ",spotify:track:1ZczOoLuCyDO5dKUPndxf5,dinner
227,Strung Out,"Ruby Empress, ",spotify:track:2lkR391RHqgyLF2ERdtT3x,dinner
228,Sly (feat. Winston Surfshirt) - Fortunes Remix,"Polographia, Winston Surfshirt, Fortunes, ",spotify:track:1X1SYbh4YcezyQylTEMk9Y,dinner
229,Ruin,"Shawn Mendes, ",spotify:track:5yBUA5x8df0ebXvOGzuc0O,dinner
230,Melt,"JONES, ",spotify:track:5uOL0fH1zxtRJwWHpCxy98,dinner
231,Switch,"Cass McCombs, ",spotify:track:42VpxSdGQgnV1UJkWeGYkA,dinner
232,Tearing Me Up - Radio Edit,"Bob Moses, ",spotify:track:39PrQCuTLOgApfoGPKDdnc,dinner
233,Swingin Party,"Kindness, ",spotify:track:3t6bWEYhEgvSYlLSqW8v4J,dinner
234,Can't Seem To Make You Mine,"The Seeds, ",spotify:track:6nnSkEpzo8PmHsOlSopoO6,dinner
235,Our Love,"Samm Henshaw, ",spotify:track:0SpVbtssPegVSizgGVpJ3o,dinner
236,Le lac,"Julien Doré, ",spotify:track:38sf3sFw835Uzab1FpHqzJ,dinner
237,I'll Be That Friend,"Jodie Abacus, ",spotify:track:5g0i6B7xPsaldRbjxMd2OL,dinner
238,Feels So Right,"MAALA, ",spotify:track:3hAzODuMR1gL72mawBMb6I,dinner
239,Just,"Couzare, Cozy, ",spotify:track:1FFG7xxiIpaw1kfbc402Pp,dinner
240,Mellow Mellow (Right On),"Lowrell, ",spotify:track:0YLN2oIPG6MPKAy5ysiePj,dinner
241,Dang! (feat. Anderson .Paak),"Mac Miller, Anderson .Paak, ",spotify:track:7L7KnCltNM8yXWs3ozuUY1,dinner
242,Anything You Want (Not That),"Belleruche, ",spotify:track:4YFVcmPaqjQnJg2bZ3Wm12,dinner
243,Canvas,"Ajmw, ",spotify:track:1J7aG8YZaTJ0FCkcvjsVI5,dinner
244,Second Heartbeat,"Shy Girls, ",spotify:track:3p5RVnBFzE2flDBfBvPxOO,dinner
245,Tell Your Friends,"The Weeknd, ",spotify:track:28YLWwEB6xnJQYN7e062rH,dinner
246,Love That Girl,"Raphael Saadiq, ",spotify:track:4ZKGarvWsSOruOaw40cFNz,dinner
247,Mirror Maru,"Cashmere Cat, ",spotify:track:4LUu3bMpuxHjwPLj84rNSx,dinner
248,I Won't Take You for Someonelse,"Fantastic Mister Zguy, ",spotify:track:6AhZ4fAacXwYs07H8AwRwU,dinner
249,Leadlight,"Julia Jacklin, ",spotify:track:5tIw3TsHRrY1AL4K5UwTyP,dinner
250,With Every Heartbeat (Joakim remix),"Robyn, ",spotify:track:70mdAgKwVeGEHLB0lAR4mY,dinner
251,Church On Sunday,"Grace, ",spotify:track:1WqrrxFLNeNcYH2ELDs9UK,dinner
252,Ciclos,"I Can Chase Dragons!, ",spotify:track:20RMNLkRf91wZ2KpLXmqyq,dinner
253,Géographie - Radio Edit,"Bon Voyage Organisation, ",spotify:track:52IlP9fJ6qgytF2duYrWDM,dinner
254,On The Line,"Gavin Turek, ",spotify:track:27uyUCHIMiiBM4vNHeEf5X,dinner
